product_a,commodity_a,dept_a,product_b,commodity_b,dept_b,co_basket_count,support,confidence_a_to_b,confidence_b_to_a,lift
860776,VEGETABLES - ALL OTHERS,PRODUCE,961554,CARROTS,PRODUCE,614,0.0022207433341531516,0.12520391517128873,0.12775697045359966,7.202846292596462
910032,HOT DOGS,MEAT-PCKGD,951590,BAKED BREAD/BUNS/ROLLS,GROCERY,277,0.0010018662924436857,0.15720771850170262,0.045128706419029,7.0813650769346275
860776,VEGETABLES - ALL OTHERS,PRODUCE,904360,VEGETABLES SALAD,PRODUCE,610,0.0022062759508687663,0.12438825448613376,0.12517956084547507,7.057533788907082
860776,VEGETABLES - ALL OTHERS,PRODUCE,1081177,TOMATOES,PRODUCE,420,0.0015190752448604621,0.08564437194127243,0.12367491166077739,6.972702747883029
908531,FLUID MILK PRODUCTS,GROCERY,995242,FLUID MILK PRODUCTS,GROCERY,1560,0.005642279480910287,0.31026252983293556,0.12438207622388774,6.839628870860258
866211,GRAPES,PRODUCE,1127831,BERRIES,PRODUCE,470,0.001699917535915279,0.12817016634851378,0.08916714095996965,6.723012762796904
866211,GRAPES,PRODUCE,878996,GRAPES,PRODUCE,314,0.0011356895878242503,0.0856285792200709,0.08690838638250761,6.5527074722064995
903325,BROCCOLI/CAULIFLOWER,PRODUCE,995785,PEPPERS-ALL,PRODUCE,337,0.0012188770417094661,0.12078853046594983,0.06513335910320835,6.454599160677943
995242,FLUID MILK PRODUCTS,GROCERY,1023958,REFRGRATD JUICES/DRNKS,GROCERY,291,0.0010525021339390344,0.023202041141763673,0.282798833819242,6.234201305188909
908531,FLUID MILK PRODUCTS,GROCERY,1133018,FLUID MILK PRODUCTS,GROCERY,829,0.0029983651856888643,0.16487669053301512,0.11332877648667122,6.231820492868099
983584,FLUID MILK PRODUCTS,GROCERY,1106523,FLUID MILK PRODUCTS,GROCERY,391,0.0014141867160486683,0.21674057649667405,0.039792387543252594,6.0986466061577875
859075,CHEESE,GROCERY,1098066,BAKED BREAD/BUNS/ROLLS,GROCERY,380,0.0013744014120166085,0.10907003444316878,0.07539682539682539,5.9833570244018
909894,REFRGRATD JUICES/DRNKS,GROCERY,1133018,FLUID MILK PRODUCTS,GROCERY,365,0.0013201487247001635,0.15780371811500216,0.04989747095010253,5.96448437447823
860975,REFRGRATD JUICES/DRNKS,GROCERY,995242,FLUID MILK PRODUCTS,GROCERY,317,0.0011465401252875392,0.264828738512949,0.025275075745495135,5.838056844124876
878996,GRAPES,PRODUCE,1127831,BERRIES,PRODUCE,399,0.001443121482617439,0.11043454193191254,0.07569721115537849,5.792711798805332
826249,BAKED BREAD/BUNS/ROLLS,GROCERY,1096036,CHEESE,GROCERY,354,0.0012803634206681037,0.06430517711171663,0.11335254562920269,5.693036371615708
983584,FLUID MILK PRODUCTS,GROCERY,1029743,FLUID MILK PRODUCTS,GROCERY,530,0.0019169282851810594,0.29379157427937913,0.036729036729036726,5.629152434030483
961554,CARROTS,PRODUCE,995785,PEPPERS-ALL,PRODUCE,494,0.001786721835621591,0.10278818143986683,0.09547738693467336,5.492711162972582
854852,TOMATOES,PRODUCE,995785,PEPPERS-ALL,PRODUCE,419,0.0015154583990393657,0.10189688715953307,0.08098183223811364,5.445082904796355
883404,BAKED BREAD/BUNS/ROLLS,GROCERY,938700,VEGETABLES - SHELF STABLE,GROCERY,291,0.0010525021339390344,0.04214947856315179,0.13422509225092252,5.375302781851689
883404,BAKED BREAD/BUNS/ROLLS,GROCERY,1096036,CHEESE,GROCERY,416,0.0015046078615760768,0.06025492468134415,0.13320525136087097,5.334461285813882
995785,PEPPERS-ALL,PRODUCE,1081177,TOMATOES,PRODUCE,333,0.0012044096584250806,0.06436026285272517,0.0980565371024735,5.239865404762328
961554,CARROTS,PRODUCE,1004906,POTATOES,PRODUCE,328,0.001186325429319599,0.06824802330420308,0.09103524840410769,5.2371597211321905
901666,PEARS,PRODUCE,1082185,TROPICAL FRUIT,PRODUCE,380,0.0013744014120166085,0.5612998522895125,0.012761098797770166,5.21157997046187
1082185,TROPICAL FRUIT,PRODUCE,1098248,PEARS,PRODUCE,442,0.0015986458529245815,0.014843172812143193,0.5580808080808081,5.181691656303785
878996,GRAPES,PRODUCE,961554,CARROTS,PRODUCE,325,0.0011754748918563099,0.08995294768890119,0.06762380357885976,5.17489612751106
834484,ONIONS,PRODUCE,904360,VEGETABLES SALAD,PRODUCE,300,0.0010850537463289016,0.09085402786190187,0.0615637184485943,5.154870724270486
826249,BAKED BREAD/BUNS/ROLLS,GROCERY,844179,BEEF,MEAT,401,0.0014503551742596316,0.07284287011807447,0.10175082466379091,5.110349683259504
826249,BAKED BREAD/BUNS/ROLLS,GROCERY,1044078,BEEF,MEAT,411,0.001486523632470595,0.07465940054495913,0.10128141941843273,5.0867741991800095
826249,BAKED BREAD/BUNS/ROLLS,GROCERY,883404,BAKED BREAD/BUNS/ROLLS,GROCERY,689,0.002492006770735377,0.1251589464123524,0.09979721900347624,5.012231480282858
909894,REFRGRATD JUICES/DRNKS,GROCERY,995242,FLUID MILK PRODUCTS,GROCERY,523,0.001891610364433385,0.2261132728058798,0.0416998883750598,4.984587953951593
